ITERATION;TIME;MAIN_MEAN_QUEUE;MAIN_MEAN_LOAD;BACKUP_MEAN_QUEUE;BACKUP_MEAN_LOAD;ERRORS_RATIO;AVG_TIME_TO_PASS_MESSAGE
1;12200;0.59178;0.42558;0.44294;0.27614;0.00369;62.91976
1;12300;0.58600;0.41377;0.53212;0.43070;0.00366;59.66971
1;12400;0.52610;0.39970;0.45272;0.36533;0.00371;56.85563
1;12500;0.58498;0.43423;0.45318;0.28307;0.00368;45.14474
1;12600;0.54822;0.39732;0.55588;0.39501;0.00373;47.81939
1;12700;0.55058;0.38294;0.58673;0.41595;0.00370;65.90325
1;12800;0.58577;0.41458;0.57028;0.44635;0.00375;54.39634
1;12900;0.54162;0.41357;0.60302;0.45154;0.00364;31.03683
1;13000;0.59200;0.41752;0.63518;0.49428;0.00361;61.31414
1;13100;0.50418;0.39976;0.55709;0.46963;0.00366;86.09430
1;13200;0.53268;0.36807;0.53180;0.33107;0.00371;65.27582
1;13300;0.58085;0.41342;0.61185;0.32832;0.00376;55.80362
1;13400;0.58424;0.39503;0.54282;0.43176;0.00366;43.27653
1;13500;0.58738;0.41108;0.54162;0.36586;0.00370;67.22686
1;13600;0.49732;0.37528;0.53024;0.42671;0.00360;34.00479
1;13700;0.56226;0.38535;0.52113;0.40091;0.00380;41.45803
1;13800;0.52173;0.40523;0.50833;0.39823;0.00377;60.20200
1;13900;0.56847;0.40512;0.49591;0.35238;0.00367;38.03366
1;14000;0.53402;0.39380;0.52453;0.36708;0.00371;62.05503
1;14100;0.51394;0.37973;0.64611;0.46217;0.00376;68.31147
1;14200;0.54662;0.39842;0.43384;0.27517;0.00373;26.88620
1;14300;0.58067;0.39474;0.65061;0.42398;0.00364;61.24613
1;14400;0.57324;0.40365;0.60997;0.43958;0.00368;54.29324
1;14500;0.56683;0.41543;0.60322;0.46817;0.00365;43.70320
1;14600;0.53774;0.39348;0.62076;0.42855;0.00363;46.42147
1;14700;0.59463;0.43124;0.59852;0.38935;0.00367;56.84856
1;14800;0.57753;0.41290;0.55773;0.39516;0.00372;61.01275
1;14900;0.52241;0.40018;0.52690;0.36550;0.00362;34.77981
1;15000;0.52465;0.37928;0.54723;0.42204;0.00367;32.63465
1;15100;0.54305;0.39081;0.59274;0.42273;0.00364;79.24767
1;15200;0.54283;0.38866;0.55006;0.42568;0.00368;51.07273
1;15300;0.55825;0.36622;0.60824;0.38649;0.00366;67.23148
1;15400;0.52075;0.37052;0.55587;0.47490;0.00370;77.32378
1;15500;0.58279;0.40044;0.58548;0.45287;0.00368;51.87935
1;15600;0.55804;0.37450;0.54894;0.40648;0.00372;64.72869
1;15700;0.53165;0.38186;0.47838;0.37681;0.00369;81.46187
1;15800;0.49758;0.35422;0.60029;0.43773;0.00367;66.60757
1;15900;0.53699;0.38356;0.59582;0.44183;0.00371;81.79340
1;16000;0.56999;0.39962;0.55532;0.36181;0.00369;62.52415
1;16100;0.55860;0.39103;0.52659;0.38994;0.00373;88.04414
1;16200;0.58185;0.39821;0.54439;0.44340;0.00370;38.68019
1;16300;0.56689;0.39890;0.57807;0.36010;0.00374;71.43447
1;16400;0.52597;0.37935;0.52376;0.40198;0.00366;64.62638
1;16500;0.59184;0.42138;0.63467;0.41567;0.00370;51.67807
1;16600;0.51892;0.38731;0.60308;0.39595;0.00367;54.77079
1;16700;0.51632;0.38721;0.57812;0.42914;0.00365;58.85819
1;16800;0.58905;0.39449;0.51448;0.36547;0.00369;63.15409
1;16900;0.54076;0.41123;0.47544;0.35387;0.00373;99.74660
1;17000;0.55727;0.39515;0.60893;0.39315;0.00365;71.71174
1;17100;0.57206;0.39498;0.51360;0.39363;0.00374;89.28466
1;17200;0.55310;0.40909;0.55266;0.41770;0.00366;41.58406
1;17300;0.54631;0.37692;0.53894;0.39643;0.00370;91.10986
1;17400;0.56001;0.40666;0.57809;0.44556;0.00373;87.36979
1;17500;0.55906;0.38186;0.57370;0.39012;0.00366;51.72883
1;17600;0.56197;0.40384;0.56531;0.40152;0.00375;59.89616
1;17700;0.55657;0.40735;0.47030;0.35390;0.00367;91.97465
1;17800;0.56973;0.41118;0.65496;0.40418;0.00365;54.22111
1;17900;0.52375;0.39631;0.62500;0.37999;0.00363;82.71761
1;18000;0.56610;0.40174;0.55350;0.40050;0.00378;77.44264
1;18100;0.53709;0.37438;0.50677;0.37333;0.00370;90.62936
1;18200;0.51663;0.36364;0.46769;0.30542;0.00368;97.76402
1;18300;0.54030;0.38261;0.50630;0.37667;0.00366;52.30654
1;18400;0.48931;0.36123;0.53710;0.40594;0.00364;78.52043
1;18500;0.53526;0.41030;0.49999;0.39263;0.00368;54.75449
1;18600;0.55332;0.38719;0.56541;0.40341;0.00366;88.97480
1;18700;0.53777;0.39009;0.60324;0.42003;0.00364;78.24384
1;18800;0.54764;0.41186;0.49758;0.38426;0.00372;84.52741
1;18900;0.55715;0.40635;0.49407;0.36522;0.00365;77.20539
1;19000;0.54951;0.41274;0.47064;0.34368;0.00374;86.92527
1;19100;0.51477;0.39064;0.52958;0.43451;0.00372;109.94654
1;19200;0.54022;0.38569;0.52889;0.36443;0.00375;58.21444
1;19300;0.58262;0.41295;0.47986;0.35568;0.00373;75.76648
1;19400;0.51490;0.38003;0.47602;0.33672;0.00371;81.07624
1;19500;0.51756;0.38197;0.46333;0.33980;0.00374;80.21669
1;19600;0.54840;0.39105;0.54160;0.37408;0.00372;50.72782
1;19700;0.55856;0.41466;0.54339;0.45779;0.00371;64.48494
1;19800;0.58736;0.42056;0.47919;0.33042;0.00364;63.38981
1;19900;0.54281;0.38418;0.59048;0.40251;0.00372;80.01897
1;20000;0.53792;0.41438;0.59140;0.41056;0.00375;77.24090
1;20100;0.53760;0.38839;0.49566;0.39406;0.00363;63.12404
1;20200;0.56553;0.39468;0.45153;0.32722;0.00366;74.73826
1;20300;0.52846;0.40506;0.54511;0.42070;0.00369;64.43234
1;20400;0.52382;0.41204;0.49125;0.39263;0.00373;53.08421
1;20500;0.54800;0.42061;0.53331;0.38269;0.00371;102.84925
1;20600;0.59372;0.42362;0.61224;0.41087;0.00369;68.06614
1;20700;0.58322;0.40612;0.52192;0.39154;0.00372;100.74092
1;20800;0.58581;0.41048;0.56298;0.35709;0.00370;93.25071
1;20900;0.55685;0.38542;0.49276;0.35021;0.00373;92.54102
1;21000;0.52351;0.38078;0.60867;0.45009;0.00367;87.75138
1;21100;0.52262;0.37730;0.46985;0.31857;0.00370;108.52216
1;21200;0.55641;0.40134;0.48150;0.31198;0.00368;74.03235
1;21300;0.57178;0.38219;0.48526;0.36463;0.00366;67.26625
1;21400;0.57281;0.39427;0.73258;0.49776;0.00374;75.00051
1;21500;0.58860;0.40916;0.62890;0.41333;0.00367;96.64093
1;21600;0.52023;0.39776;0.54909;0.45146;0.00375;67.54614
1;21700;0.52859;0.38342;0.52349;0.39605;0.00373;66.39846
1;21800;0.53023;0.39225;0.54320;0.40473;0.00367;90.54552
1;21900;0.52541;0.40859;0.49185;0.37673;0.00370;74.99319
1;22000;0.53221;0.39252;0.54414;0.40676;0.00368;78.27149
1;22100;0.55126;0.40148;0.56627;0.41940;0.00371;106.61829
1;22200;0.58357;0.42071;0.57582;0.40919;0.00365;65.29587
1;22300;0.53047;0.38437;0.62350;0.44979;0.00372;98.07042
1;22400;0.52392;0.39404;0.48027;0.35806;0.00366;76.72119
1;22500;0.56403;0.41346;0.57661;0.43292;0.00369;87.12039
1;22600;0.55187;0.40916;0.54843;0.37797;0.00367;74.03913
1;22700;0.54510;0.39649;0.51715;0.45593;0.00370;60.63800
1;22800;0.51610;0.39293;0.65069;0.47149;0.00373;110.12431
1;22900;0.52152;0.40210;0.52286;0.39265;0.00371;74.80191
1;23000;0.57043;0.38469;0.50554;0.38490;0.00365;87.83092
1;23100;0.54806;0.40722;0.59146;0.43812;0.00368;58.07667
1;23200;0.56871;0.39614;0.53870;0.37179;0.00375;84.29369
1;23300;0.53283;0.37539;0.56664;0.38068;0.00378;119.04644
1;23400;0.55876;0.40162;0.51875;0.34959;0.00363;68.10872
1;23500;0.54756;0.39063;0.59780;0.43969;0.00370;98.75866
1;23600;0.55563;0.39193;0.56107;0.43143;0.00369;90.14554
1;23700;0.53990;0.39440;0.57849;0.41452;0.00371;50.96883
1;23800;0.57431;0.40926;0.56247;0.45276;0.00374;63.01361
1;23900;0.54937;0.38494;0.56055;0.39029;0.00368;58.41414
1;24000;0.56471;0.38846;0.64425;0.44638;0.00371;62.57649
1;24100;0.51883;0.38290;0.53772;0.39872;0.00365;90.39911
1;24200;0.56042;0.39195;0.57440;0.40097;0.00368;96.65321
1;24300;0.59142;0.40152;0.52516;0.36877;0.00374;126.30170
1;24400;0.59719;0.41974;0.56917;0.43992;0.00373;52.66447
1;24500;0.57351;0.40537;0.58228;0.40981;0.00367;90.26613
1;24600;0.57541;0.38842;0.56090;0.41507;0.00366;78.22426
1;24700;0.56151;0.38707;0.49508;0.36439;0.00364;121.66254
1;24800;0.54480;0.39806;0.52712;0.39075;0.00371;88.85671
1;24900;0.57755;0.44165;0.59921;0.44551;0.00369;91.75912
1;25000;0.53224;0.40876;0.48263;0.34883;0.00368;117.86972
1;25100;0.51669;0.38793;0.54105;0.41860;0.00374;85.02762
1;25200;0.56554;0.41222;0.55828;0.39755;0.00365;100.68840
1;25300;0.55628;0.40191;0.49614;0.37816;0.00368;99.49434
1;25400;0.57226;0.41141;0.51785;0.35118;0.00366;117.80393
1;25500;0.55105;0.40311;0.55983;0.39672;0.00369;108.11434
1;25600;0.53283;0.38411;0.49308;0.36180;0.00371;72.38854
1;25700;0.54328;0.39661;0.53865;0.40814;0.00366;128.46459
1;25800;0.55769;0.38227;0.53607;0.40188;0.00368;72.34404
1;25900;0.56233;0.39373;0.58495;0.39075;0.00367;105.48127
1;26000;0.52521;0.38303;0.49469;0.38318;0.00369;107.10497
1;26100;0.57057;0.39531;0.51677;0.41336;0.00372;160.89372
1;26200;0.55469;0.40624;0.51051;0.36850;0.00366;113.26700
1;26300;0.53216;0.39301;0.55070;0.36953;0.00373;131.03126
1;26400;0.58144;0.40765;0.57347;0.39491;0.00375;112.84382
1;26500;0.55258;0.39518;0.57345;0.40772;0.00374;102.33635
1;26600;0.53665;0.39019;0.57055;0.39917;0.00376;112.48993
1;26700;0.57882;0.42682;0.59777;0.45087;0.00371;87.35899
1;26800;0.52787;0.37258;0.52321;0.38527;0.00373;168.06534
1;26900;0.54208;0.38717;0.60106;0.43922;0.00368;136.25323
1;27000;0.52188;0.38098;0.51746;0.37469;0.00370;109.55080
1;27100;0.56267;0.39736;0.63099;0.43312;0.00373;80.94654
1;27200;0.52805;0.38984;0.53563;0.33604;0.00371;141.95214
1;27300;0.53876;0.37807;0.53620;0.38095;0.00374;105.57229
1;27400;0.51936;0.39358;0.49870;0.37203;0.00372;103.37334
1;27500;0.52337;0.38802;0.52978;0.37415;0.00364;126.93044
1;27600;0.54758;0.38404;0.51671;0.33451;0.00370;129.96042
1;27700;0.55122;0.41226;0.58606;0.43705;0.00372;105.16834
1;27800;0.55795;0.39383;0.64485;0.41512;0.00370;88.00125
1;27900;0.55281;0.39378;0.58030;0.44579;0.00373;96.98017
1;28000;0.54258;0.39426;0.56907;0.44749;0.00364;106.25822
1;28100;0.54200;0.40289;0.54073;0.38435;0.00370;72.41966
1;28200;0.55548;0.39628;0.63404;0.41479;0.00372;89.03049
1;28300;0.55291;0.41207;0.59351;0.38717;0.00367;81.15585
1;28400;0.54150;0.38372;0.50154;0.36759;0.00370;94.52247
1;28500;0.52681;0.38530;0.57572;0.42956;0.00368;117.71411
1;28600;0.55221;0.37904;0.56484;0.43408;0.00371;135.29815
1;28700;0.54741;0.40705;0.52824;0.38411;0.00366;84.71803
1;28800;0.51385;0.39227;0.60297;0.39516;0.00365;88.83483
1;28900;0.59843;0.40252;0.58131;0.42365;0.00367;81.04882
1;29000;0.51817;0.38011;0.57500;0.42710;0.00369;112.57772
1;29100;0.53610;0.39467;0.53346;0.40610;0.00371;77.95476
1;29200;0.53789;0.40468;0.56513;0.42322;0.00373;131.74872
1;29300;0.54139;0.40342;0.60463;0.42959;0.00369;84.07884
1;29400;0.54348;0.39105;0.52453;0.36918;0.00371;80.04270
1;29500;0.51880;0.38164;0.48171;0.32883;0.00369;117.73293
